# ascissa,ordinata
1.970353898543121218e+01,2.930034468379013646e+01
3.800535028275822924e+01,3.955209863685998073e+01
2.420303222725561199e+01,2.587167199350237112e+01
4.736353203433024106e+01,6.201553794826752863e+01
1.759406055309215011e+00,-7.269263459543539696e+00
9.198051445018423422e+00,1.965342579610370422e+01
2.531821545754780090e+01,5.848748609552818323e+01
3.424377715683871060e+01,5.158808909277132670e+01
3.640460138113495248e+01,3.779536327827313613e+01
4.312337042339795801e+01,8.402853711436013384e+01
2.476767059521995407e+01,3.787679515896678595e+01
2.203814520200756988e+01,3.425381900295749205e+01
1.182953077320740221e+01,2.993332470928131173e+01
4.498759261917117946e+00,8.914530996484266723e+00
1.463046146998247465e+01,3.001731228879748770e+01
3.920198265775160706e+01,7.004020260548658428e+01
1.076971052364118542e+01,3.298980202854655630e+01
4.413536226554128916e+01,8.523247024877909439e+01
1.106486725367520307e+01,3.580239586948984964e+01
3.216416457384310945e+01,4.770490743311720649e+01
7.964413933987890104e+00,1.686468613591276622e+01
9.037113328978330085e-01,1.612966086371271501e+01
2.839145142911699438e+01,5.880313400138042823e+01
4.087129847991808163e+01,6.039689961690130104e+01
7.386661570211672245e-01,1.006861392317829029e+01
3.420946664603712151e+01,4.992923795698169442e+01
2.797754125631278654e+01,2.724308340028001041e+01
3.035818191807696920e+01,5.721972956900608409e+01
3.088318581964805354e+00,5.033908829531368312e+00
3.956070854533533065e+01,6.174126241747518407e+01
